file,url,built_up,built_up_psf
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_108262382.0.html.gz,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/laurel-residence/ol-rent-108262382/,590 sq ft,4.92
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_108397443.0.html.gz,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/laurel-residence/ol-rent-108397443/,590 sq ft,4.75
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_200013030.0.html.gz,https://www.iproperty.com.my/property/mont-kiara/inspirasi/cl-rent-200013030/,940 sq ft,3.40
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_200082162.0.html.gz,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/laurel-residence/rent-200082162/,495 sq ft,5.05
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_200209462.0.html.gz,https://www.iproperty.com.my/property/kota-damansara/dianthus-tropicana-gardens/rent-200209462/,1401 sq ft,4.64
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_200242962.0.html.gz,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/kl-gateway-residences/rent-200242962/,875 sq ft,3.43
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_200298521.0.html.gz,https://www.iproperty.com.my/property/cheras/lavile-kuala-lumpur/cl-rent-200298521/,864 sq ft,4.17
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_200302222.0.html.gz,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/south-view/rent-200302222/,648 sq ft,3.86
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_200368779.0.html.gz,https://www.iproperty.com.my/property/desa-parkcity/rent-200368779/,3412 sq ft,3.81
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_200371558.0.html.gz,https://www.iproperty.com.my/property/bukit-jalil/jrk-convena/rent-200371558/,890 sq ft,2.92
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_500015121.0.html.gz,https://www.iproperty.com.my/property/puchong/sky-condominium-skyz-residence/rent-500015121/,1356 sq ft,2.65
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_500176124.0.html.gz,https://www.iproperty.com.my/property/damansara-heights/regent-suites-pavilion-damansara-heights/rent-500176124/,1396 sq ft,7.52
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_500176161.0.html.gz,https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/rent-500176161/,1830 sq ft,5.19
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_500176225.0.html.gz,https://www.iproperty.com.my/property/kl-city-centre/the-conlay/rent-500176225/,904 sq ft,8.30
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_500176252.0.html.gz,https://www.iproperty.com.my/property/kl-city-centre/the-conlay/rent-500176252/,743 sq ft,8.08
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_residential_500203280.0.html.gz,https://www.iproperty.com.my/property/batu-kawan/vivo-executive-apartment/rent-500203280/,730 sq ft,2.05
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_100925995.0.html.gz,https://www.iproperty.com.my/property/kepong/kepong-business-park-segambut-bahagia/sale-100925995/,9400 sq ft,1008.51
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_100947660.0.html.gz,https://www.iproperty.com.my/property/petaling-jaya/jalan-gasing-nearby-jalan-kemajuan-jalan-utara-jalan-universiti-jalan-timur-jalan-selangor-ss-2/sale-100947660/,3000 sq ft,929.33
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_103078340.0.html.gz,https://www.iproperty.com.my/property/shah-alam/shah-alam-strategic-loaction-detached-warehouse/sale-103078340/,20100 sq ft,746.27
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_105501293.0.html.gz,https://www.iproperty.com.my/property/batu-caves/batu-caves-sbc-bolton-batu-caves/sale-105501293/,3000 sq ft,3333.33
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_105752331.0.html.gz,https://www.iproperty.com.my/property/balakong/balakong-bangi-semi-d-factory/ol-sale-105752331/,12000 sq ft,583.33
