intent,segment,url,title,listed_date,listed_time,scrape_datetime,agent_name,agent_id,listing_id,snapshot_path
sale,residential,https://www.iproperty.com.my/property/rawang/sale-107423367/,2nd Park City Lake Side Pet Friendly Theme Park Residence,,,2025-10-03 13:03:09,,,107423367,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/country-heights-damansara/sale-200362840/,Exclusive Country Heights Damansara Lots Available Now!,,,2025-10-03 13:03:09,,,200362840,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/country-heights-damansara/sale-200362812/,Exclusive Country Heights Damansara Lots Available Now!,,,2025-10-03 13:03:09,,,200362812,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/bangsar/bangsar-hill-park/sale-107521120/,Get Free ebrocure Here! Available 24/7. Contact me for viewing anytime,,,2025-10-03 13:03:09,,,107521120,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/shah-alam/arca-bukit-jelutong/sale-500082555/,Corner Lot House Fully Renovated and Extended with Swimming Pool,,,2025-10-03 13:03:09,,,500082555,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/cheras/lavile-kuala-lumpur/cl-rent-200298521/,Exclusive Nice Design Unit For Rent!! Contact For More Info!!,,,2025-10-03 13:03:11,,,200298521,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/tanjung-tokong/city-of-dreams/ol-rent-105880235/,City of Dreams Condominium Nice furnishing Corner unit,,,2025-10-03 13:03:11,,,105880235,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/cheras/lavile-kuala-lumpur/cl-rent-107930438/,Nice Design Good Condition Unit!! Contact me for more info and view!!,,,2025-10-03 13:03:11,,,107930438,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/puchong/sky-condominium-skyz-residence/rent-500015121/,Fully furnished unit at Sky Condo,,,2025-10-03 13:03:11,,,500015121,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/desa-parkcity/rent-200368779/,Partly Furnished Landed For Rent!,,,2025-10-03 13:03:11,,,200368779,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/kl-city-centre/the-conlay/rent-500176252/,"Charming 1 Bedroom Service Residence Rental at 29, Jalan Conlay",,,2025-10-03 13:03:11,,,500176252,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
